,Ana Pinzon Dep 1:RASI,,Ana Pinzon Dep 1:RPSI,,Ana Pinzon Dep 1:RTHI,,Ana Pinzon Dep 1:RKNE,,Ana Pinzon Dep 1:RTIB,,Ana Pinzon Dep 1:RANK,,Ana Pinzon Dep 1:RHEE,,Ana Pinzon Dep 1:RTOE,
Frame,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z
,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
89,-165.427338,1271.684692,-365.774445,1289.641602,-231.76329,966.361633,-258.602386,810.122498,-308.463501,618.454529,-342.128632,424.443329,-395.581696,390.61261,-183.763718,379.375366
90,-164.074707,1271.422119,-364.404663,1289.711304,-230.694122,966.197998,-257.578796,809.964539,-307.863556,618.397278,-342.083099,424.479797,-395.6073,390.602997,-183.787918,379.401611
91,-162.687241,1271.158813,-362.997498,1289.76062,-229.546768,966.026978,-256.447266,809.785828,-307.201508,618.319519,-342.030853,424.516876,-395.637756,390.591858,-183.823822,379.439148
92,-161.267441,1270.895142,-361.553406,1289.788818,-228.305374,965.844543,-255.188339,809.581909,-306.465118,618.218933,-341.96936,424.553864,-395.672485,390.579132,-183.871185,379.485382
93,-159.8181,1270.630981,-360.073029,1289.795288,-226.952927,965.647095,-253.781052,809.347961,-305.641541,618.094482,-341.895782,424.590027,-395.71048,390.565247,-183.929016,379.536926
94,-158.342133,1270.366211,-358.557587,1289.777954,-225.472137,965.430908,-252.203766,809.079102,-304.717804,617.945862,-341.807068,424.624756,-395.750092,390.550903,-183.995636,379.589417
95,-156.842514,1270.10022,-357.008362,1289.735107,-223.846436,965.192566,-250.435471,808.770813,-303.681854,617.773499,-341.700012,424.65802,-395.789398,390.537415,-184.068542,379.637756
96,-155.321884,1269.831665,-355.42688,1289.663574,-222.060944,964.928528,-248.457001,808.419312,-302.523102,617.578735,-341.571655,424.69046,-395.825958,390.526306,-184.144653,379.676422
97,-153.782257,1269.55835,-353.814423,1289.560425,-220.103439,964.635315,-246.252151,808.021118,-301.233459,617.363586,-341.419098,424.723389,-395.857208,390.519775,-184.220291,379.700195
98,-152.224838,1269.277222,-352.171844,1289.422485,-217.965149,964.309143,-243.808716,807.574219,-299.807831,617.129822,-341.239685,424.758972,-395.880554,390.520294,-184.291504,379.704437
